catcher,player_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
J.T. Realmuto,592663,146,27.00,87.8,0.70,23,1.90,1.88,1.90,2,1.47,1.46,1.48
Jorge Alfaro,595751,143,25.00,90.8,0.73,46,1.94,1.90,1.96,1,1.49,-.--,1.49
Tomas Nido,621512,121,24.00,82.2,0.70,11,1.94,1.92,1.94,1,1.53,-.--,1.53
Austin Hedges,595978,135,26.00,83.1,0.70,24,1.94,1.92,1.95,6,1.52,1.51,1.53
Gary Sanchez,596142,147,26.00,86.8,0.76,18,1.94,1.93,1.96,4,1.48,1.49,1.48
Manny Pina,444489,158,31.00,83.9,0.67,28,1.94,1.93,1.95,0,-.--,-.--,-.--
Blake Swihart,596119,111,26.00,85.7,0.76,11,1.97,1.93,2.01,1,1.54,-.--,1.54
Wilson Ramos,467092,143,31.00,82.3,0.71,15,1.99,1.94,2.01,7,1.60,1.56,1.61
Reese McGuire,624512,141,23.00,79.7,0.64,10,1.95,1.94,1.95,0,-.--,-.--,-.--
Sandy Leon,506702,111,29.00,82.2,0.69,20,1.97,1.95,1.98,0,-.--,-.--,-.--
Welington Castillo,456078,145,31.00,80.1,0.62,13,1.96,1.95,1.97,1,1.54,1.54,-.--
Roberto Perez,547379,114,30.00,83.4,0.70,18,1.96,1.96,1.97,1,1.49,1.49,-.--
Willson Contreras,575929,112,26.00,86.2,0.74,30,1.96,1.96,1.96,3,1.55,1.54,1.55
Yan Gomes,543228,114,31.00,81.2,0.66,36,1.93,1.96,1.92,4,1.75,1.57,1.80
Alex Avila,488671,109,31.00,81.1,0.73,15,1.98,1.97,1.99,1,1.63,1.63,-.--
Rene Rivera,425784,144,35.00,81.6,0.72,10,2.00,1.97,2.02,0,-.--,-.--,-.--
Andrew Knapp,595284,143,27.00,82.7,0.75,24,2.03,1.98,2.04,1,1.57,-.--,1.57
Elias Diaz,553869,134,28.00,84.9,0.72,18,1.98,1.98,1.98,2,1.45,1.44,1.46
Martin Maldonado,455117,117,32.00,87.5,0.77,20,1.97,1.98,1.97,4,1.61,1.58,1.62
Salvador Perez,521692,118,28.00,82.0,0.68,38,1.98,1.98,1.96,1,1.53,-.--,1.53
Spencer Kieboom,571851,120,27.00,80.2,0.69,15,1.99,1.98,1.99,1,1.60,-.--,1.60
Drew Butera,460077,115,35.00,85.7,0.75,18,1.98,1.98,1.97,3,1.54,-.--,1.54
Pedro Severino,600474,120,25.00,84.3,0.71,21,1.98,1.99,1.98,0,-.--,-.--,-.--
Matt Wieters,446308,120,32.00,80.0,0.71,22,2.01,1.99,2.02,4,1.56,1.55,1.58
Bryan Holaday,592407,146,31.00,81.9,0.73,22,2.00,1.99,2.02,1,1.49,-.--,1.49
Jonathan Lucroy,518960,133,32.00,80.7,0.69,43,2.00,1.99,2.01,5,1.58,1.59,1.57
Mike Zunino,572287,136,27.00,81.2,0.72,25,2.02,2.00,2.04,2,1.69,1.64,1.74
Buster Posey,457763,137,31.00,82.5,0.75,30,2.01,2.01,2.01,4,1.56,-.--,1.56
Tony Wolters,547172,115,26.00,78.5,0.67,19,1.99,2.01,1.97,3,1.54,1.56,1.53
John Hicks,543308,116,29.00,84.4,0.70,10,1.97,2.01,1.96,1,1.61,-.--,1.61
Nick Hundley,460026,137,35.00,80.3,0.74,30,2.04,2.01,2.05,2,1.60,1.60,-.--
Austin Wynns,642851,110,28.00,79.4,0.70,10,2.01,2.02,1.99,2,1.55,-.--,1.55
Luke Maile,571912,141,27.00,83.0,0.71,34,1.99,2.02,1.97,3,1.66,1.76,1.61
Jose Briceno,593993,108,26.00,81.2,0.69,12,2.00,2.02,1.99,0,-.--,-.--,-.--
Erik Kratz,456124,158,38.00,84.1,0.77,21,2.02,2.02,2.02,2,1.69,1.87,1.52
Kevan Smith,607345,145,30.00,82.8,0.72,21,2.01,2.02,2.00,0,-.--,-.--,-.--
Jesus Sucre,491696,139,30.00,84.5,0.78,17,2.01,2.03,1.98,1,1.60,-.--,1.60
Isiah Kiner-Falefa,643396,140,23.00,77.2,0.66,13,2.04,2.03,2.05,1,1.56,-.--,1.56
Francisco Cervelli,465041,134,32.00,79.7,0.72,29,2.01,2.03,1.99,6,1.59,1.64,1.54
Yasmani Grandal,518735,119,30.00,80.8,0.74,33,2.04,2.04,2.04,5,1.61,-.--,1.61
James McCann,543510,116,28.00,83.2,0.74,39,2.02,2.04,1.99,4,1.60,1.64,1.59
A.J. Ellis,454560,135,37.00,78.1,0.69,18,2.06,2.04,2.06,3,1.60,1.57,1.65
Tucker Barnhart,571466,113,27.00,79.0,0.69,37,2.03,2.05,2.03,8,1.74,1.74,1.74
John Ryan Murphy,571974,109,27.00,83.7,0.74,14,1.99,2.05,1.97,0,-.--,-.--,-.--
Yadier Molina,425877,138,36.00,81.9,0.74,14,2.05,2.05,2.04,0,-.--,-.--,-.--
Caleb Joseph,543376,110,32.00,79.7,0.72,39,2.04,2.05,2.02,5,1.53,1.61,1.51
Bruce Maxwell,622194,133,28.00,80.5,0.73,12,2.09,2.05,2.11,2,1.61,1.61,-.--
Omar Narvaez,553882,145,26.00,80.5,0.72,38,2.03,2.05,2.02,8,1.62,1.63,1.62
Austin Romine,519222,147,30.00,84.5,0.80,35,2.04,2.06,2.03,1,1.58,1.58,-.--
Mitch Garver,641598,142,27.00,81.7,0.78,20,2.08,2.06,2.09,0,-.--,-.--,-.--
Chris Iannetta,455104,115,35.00,81.4,0.79,20,2.04,2.06,2.04,3,1.61,-.--,1.61
Devin Mesoraco,519023,121,30.00,82.5,0.75,28,2.03,2.06,2.01,3,1.62,-.--,1.62
Jason Castro,488771,142,31.00,80.3,0.70,11,2.05,2.07,2.02,0,-.--,-.--,-.--
Kevin Plawecki,608700,121,27.00,78.5,0.74,40,2.07,2.08,2.07,4,1.63,-.--,1.63
Christian Vazquez,543877,111,28.00,80.5,0.71,14,2.06,2.08,2.02,0,-.--,-.--,-.--
Russell Martin,431145,141,35.00,83.1,0.75,39,2.01,2.08,1.99,4,1.59,1.61,1.57
Robinson Chirinos,455139,140,34.00,81.1,0.77,21,2.04,2.08,2.03,4,1.66,-.--,1.66
Brian McCann,435263,117,34.00,77.2,0.77,16,2.08,2.08,2.08,1,1.65,-.--,1.65
Bobby Wilson,435064,142,35.00,77.8,0.71,16,2.09,2.08,2.09,1,1.78,1.78,-.--
Francisco Arcia,516472,108,29.00,80.5,0.76,11,2.05,2.08,2.03,1,1.59,-.--,1.59
Tyler Flowers,452095,144,32.00,74.7,0.75,26,2.14,2.08,2.16,3,1.72,1.70,1.73
Chance Sisco,642082,110,23.00,78.4,0.81,15,2.09,2.09,2.08,6,1.75,1.69,1.77
Kurt Suzuki,435559,144,35.00,80.3,0.81,24,2.08,2.10,2.07,6,1.65,1.68,1.63
Max Stassi,545358,117,27.00,79.3,0.78,26,2.09,2.10,2.08,0,-.--,-.--,-.--
Jeff Mathis,425772,109,35.00,78.6,0.74,16,2.07,2.12,2.05,1,1.60,1.60,-.--
Victor Caratini,605170,112,25.00,81.0,0.81,14,2.08,2.15,2.07,4,1.69,1.65,1.70
Danny Jansen,643376,141,23.00,81.9,0.81,11,2.08,2.16,2.03,3,1.63,-.--,1.63