last_name, first_name,player_id,name_abbrev,team_id,position_name,age,bat_side,seconds_since_hit_000,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090
Abreu, Jose,547989,CWS,145,1B,31,R,0,0.55,0.86,1.14,1.39,1.62,1.85,2.05,2.26,2.45,2.64,2.83,3.02,3.2,3.39,3.57,3.75,3.94,4.13
Acuna Jr., Ronald,660670,ATL,144,LF,21,R,0,0.52,0.8,1.04,1.27,1.48,1.68,1.87,2.05,2.23,2.41,2.58,2.74,2.91,3.08,3.24,3.4,3.57,3.74
Adames, Willy,642715,TB,139,SS,23,R,0,0.54,0.83,1.09,1.33,1.55,1.76,1.96,2.15,2.34,2.52,2.7,2.88,3.05,3.22,3.39,3.56,3.74,3.91
Adams, Matt,571431,STL,138,1B,30,L,0,0.53,0.83,1.1,1.36,1.59,1.81,2.02,2.22,2.42,2.61,2.8,2.99,3.17,3.36,3.54,3.73,3.92,4.11
Adduci, Jim,451192,DET,116,1B,33,L,0,0.53,0.81,1.07,1.3,1.52,1.73,1.93,2.12,2.3,2.48,2.66,2.83,3.01,3.17,3.34,3.51,3.68,3.86
Adrianza, Ehire,501303,MIN,142,SS,29,L,0,0.52,0.81,1.07,1.31,1.54,1.75,1.96,2.15,2.35,2.53,2.72,2.9,3.08,3.26,3.44,3.62,3.81,4
Aguilar, Jesus,542583,MIL,158,1B,28,R,0,0.59,0.93,1.23,1.49,1.74,1.98,2.2,2.42,2.62,2.83,3.03,3.23,3.43,3.62,3.82,4.02,4.22,4.43
Ahmed, Nick,605113,ARI,109,SS,28,R,0,0.54,0.84,1.11,1.35,1.58,1.8,2,2.2,2.39,2.57,2.75,2.93,3.11,3.29,3.46,3.63,3.81,3.98
Albies, Ozzie,645277,ATL,144,2B,21,L,0,0.51,0.79,1.03,1.25,1.47,1.67,1.86,2.05,2.23,2.4,2.58,2.75,2.92,3.09,3.26,3.43,3.61,3.79
Albies, Ozzie,645277,ATL,144,2B,21,R,0,0.55,0.83,1.08,1.31,1.52,1.73,1.92,2.11,2.29,2.47,2.64,2.81,2.99,3.15,3.32,3.49,3.66,3.84
Alfaro, Jorge,595751,PHI,143,C,25,R,0,0.56,0.86,1.12,1.37,1.6,1.81,2.02,2.22,2.41,2.59,2.78,2.96,3.13,3.31,3.48,3.66,3.83,4.01
Allen, Greg,656185,CLE,114,CF,25,L,0,0.52,0.8,1.05,1.28,1.5,1.7,1.89,2.08,2.26,2.43,2.61,2.78,2.94,3.11,3.28,3.44,3.62,3.8
Almora Jr., Albert,546991,CHC,112,CF,24,R,0,0.55,0.85,1.11,1.36,1.59,1.81,2.01,2.21,2.4,2.59,2.77,2.95,3.13,3.31,3.48,3.66,3.83,4.02
Alonso, Yonder,475174,CLE,114,1B,31,L,0,0.55,0.87,1.17,1.44,1.69,1.93,2.16,2.38,2.59,2.8,3.01,3.22,3.43,3.64,3.85,4.07,4.3,4.55
Altherr, Aaron,571437,PHI,143,RF,27,R,0,0.51,0.8,1.05,1.29,1.51,1.72,1.92,2.11,2.3,2.48,2.66,2.83,3,3.18,3.34,3.51,3.68,3.85
Altuve, Jose,514888,HOU,117,2B,28,R,0,0.53,0.8,1.05,1.28,1.49,1.7,1.89,2.07,2.25,2.43,2.6,2.77,2.93,3.1,3.27,3.43,3.6,3.77
Anderson, Brian,605119,MIA,146,RF,25,R,0,0.55,0.84,1.11,1.36,1.59,1.8,2.01,2.21,2.41,2.6,2.78,2.97,3.15,3.33,3.51,3.69,3.88,4.07
Anderson, Tim,641313,CWS,145,SS,25,R,0,0.53,0.82,1.06,1.3,1.51,1.72,1.91,2.1,2.28,2.46,2.63,2.8,2.97,3.14,3.31,3.48,3.65,3.82
Andrus, Elvis,462101,TEX,140,SS,30,R,0,0.55,0.85,1.11,1.36,1.59,1.8,2.01,2.21,2.4,2.58,2.77,2.95,3.13,3.31,3.48,3.66,3.84,4.03
Andujar, Miguel,609280,NYY,147,3B,23,R,0,0.54,0.83,1.09,1.33,1.55,1.76,1.96,2.15,2.34,2.52,2.7,2.88,3.06,3.23,3.4,3.58,3.76,3.94
Arcia, Francisco,516472,LAA,108,C,29,L,0,0.52,0.83,1.11,1.37,1.62,1.85,2.07,2.29,2.5,2.7,2.9,3.1,3.3,3.5,3.71,3.91,4.12,4.35
Arcia, Orlando,606115,MIL,158,SS,24,R,0,0.55,0.85,1.12,1.36,1.59,1.81,2.01,2.21,2.4,2.59,2.78,2.96,3.14,3.33,3.51,3.69,3.88,4.08
Arenado, Nolan,571448,COL,115,3B,27,R,0,0.57,0.89,1.17,1.43,1.68,1.91,2.12,2.33,2.54,2.74,2.93,3.13,3.32,3.51,3.7,3.89,4.08,4.29
Astudillo, Willians,553902,MIN,142,C,27,R,0,0.56,0.88,1.16,1.43,1.68,1.91,2.13,2.34,2.55,2.75,2.96,3.16,3.36,3.56,3.77,3.98,4.21,4.45
Asuaje, Carlos,641319,SD,135,2B,27,L,0,0.52,0.81,1.07,1.31,1.54,1.75,1.96,2.15,2.34,2.53,2.71,2.9,3.08,3.26,3.44,3.62,3.8,3.99
Austin, Tyler,592122,MIN,142,1B,27,R,0,0.54,0.83,1.1,1.34,1.57,1.79,2,2.19,2.39,2.57,2.76,2.94,3.12,3.3,3.47,3.65,3.83,4.01
Avila, Alex,488671,ARI,109,C,31,L,0,0.54,0.89,1.19,1.46,1.72,1.95,2.18,2.4,2.62,2.83,3.04,3.24,3.45,3.65,3.86,4.07,4.29,4.51
Bader, Harrison,664056,STL,138,CF,24,R,0,0.54,0.83,1.08,1.31,1.53,1.73,1.92,2.11,2.29,2.46,2.64,2.81,2.97,3.14,3.3,3.46,3.63,3.79
Baez, Javier,595879,CHC,112,2B,26,R,0,0.55,0.84,1.1,1.33,1.56,1.76,1.96,2.15,2.33,2.51,2.69,2.86,3.04,3.21,3.37,3.54,3.71,3.89
Barnes, Austin,605131,LAD,119,C,29,R,0,0.53,0.83,1.09,1.34,1.57,1.78,1.99,2.19,2.38,2.57,2.76,2.94,3.12,3.3,3.48,3.66,3.84,4.02
Barnhart, Tucker,571466,CIN,113,C,27,L,0,0.54,0.85,1.13,1.39,1.64,1.87,2.08,2.29,2.5,2.7,2.9,3.1,3.3,3.49,3.69,3.88,4.09,4.3
Bauers, Jake,641343,TB,139,1B,23,L,0,0.55,0.84,1.1,1.34,1.57,1.78,1.98,2.17,2.36,2.54,2.72,2.89,3.07,3.25,3.42,3.59,3.77,3.95
Bautista, Jose,430832,PHI,143,RF,38,R,0,0.55,0.86,1.15,1.41,1.64,1.87,2.08,2.29,2.5,2.7,2.89,3.09,3.28,3.47,3.66,3.85,4.04,4.24
Beckham, Tim,542921,BAL,110,SS,28,R,0,0.56,0.86,1.13,1.38,1.61,1.83,2.04,2.24,2.43,2.62,2.8,2.99,3.17,3.35,3.53,3.7,3.88,4.07
Bell, Josh,605137,PIT,134,1B,26,L,0,0.54,0.84,1.11,1.36,1.59,1.81,2.02,2.22,2.42,2.61,2.79,2.98,3.16,3.34,3.52,3.7,3.89,4.08
Bell, Josh,605137,PIT,134,1B,26,R,0,0.54,0.84,1.11,1.36,1.59,1.81,2.02,2.21,2.41,2.6,2.78,2.97,3.15,3.32,3.5,3.68,3.86,4.04
Bellinger, Cody,641355,LAD,119,1B,23,L,0,0.54,0.82,1.07,1.3,1.51,1.72,1.91,2.09,2.27,2.45,2.62,2.79,2.96,3.13,3.29,3.46,3.63,3.81
Belt, Brandon,474832,SF,137,1B,30,L,0,0.54,0.84,1.11,1.36,1.59,1.82,2.03,2.23,2.43,2.62,2.81,3,3.19,3.38,3.56,3.75,3.94,4.14
Beltre, Adrian,134181,TEX,140,3B,39,R,0,0.54,0.85,1.14,1.4,1.65,1.88,2.1,2.31,2.52,2.72,2.92,3.12,3.31,3.51,3.7,3.89,4.09,4.3
Benintendi, Andrew,643217,BOS,111,LF,24,L,0,0.52,0.8,1.05,1.28,1.5,1.71,1.91,2.1,2.28,2.46,2.64,2.82,2.99,3.16,3.34,3.51,3.69,3.87
Betts, Mookie,605141,BOS,111,RF,26,R,0,0.53,0.82,1.08,1.32,1.54,1.74,1.94,2.13,2.31,2.49,2.67,2.84,3.01,3.18,3.35,3.52,3.69,3.87
Bird, Greg,595885,NYY,147,1B,26,L,0,0.55,0.86,1.14,1.39,1.63,1.85,2.07,2.27,2.48,2.67,2.87,3.07,3.27,3.46,3.66,3.87,4.09,4.33
Blackmon, Charlie,453568,COL,115,CF,32,L,0,0.52,0.8,1.06,1.3,1.52,1.73,1.93,2.12,2.31,2.49,2.67,2.85,3.02,3.19,3.37,3.54,3.72,3.91
Blanco, Gregor,453923,SF,137,LF,35,L,0,0.54,0.83,1.08,1.32,1.54,1.75,1.95,2.14,2.32,2.5,2.68,2.86,3.03,3.2,3.37,3.55,3.73,3.92
Blandino, Alex,607468,CIN,113,2B,26,R,0,0.53,0.84,1.11,1.37,1.61,1.83,2.04,2.25,2.44,2.64,2.83,3.01,3.2,3.38,3.57,3.75,3.93,4.12
Bogaerts, Xander,593428,BOS,111,SS,26,R,0,0.54,0.85,1.11,1.35,1.57,1.79,1.99,2.18,2.37,2.55,2.73,2.91,3.09,3.26,3.43,3.61,3.79,3.97
Bonifacio, Jorge,593528,KC,118,RF,25,R,0,0.54,0.84,1.1,1.35,1.58,1.79,1.99,2.19,2.38,2.56,2.74,2.92,3.09,3.26,3.43,3.61,3.78,3.97
Bote, David,623520,CHC,112,3B,25,R,0,0.53,0.82,1.08,1.32,1.54,1.76,1.96,2.15,2.34,2.53,2.71,2.89,3.07,3.24,3.42,3.59,3.77,3.94
Bour, Justin,571506,PHI,143,1B,30,L,0,0.56,0.88,1.17,1.44,1.68,1.91,2.14,2.35,2.56,2.77,2.97,3.17,3.37,3.57,3.77,3.98,4.2,4.42
Bradley Jr., Jackie,598265,BOS,111,CF,28,L,0,0.52,0.8,1.05,1.29,1.51,1.72,1.92,2.11,2.3,2.48,2.66,2.84,3.02,3.19,3.36,3.54,3.71,3.89
Brantley, Michael,488726,CLE,114,LF,31,L,0,0.53,0.81,1.08,1.32,1.55,1.76,1.97,2.17,2.36,2.55,2.74,2.92,3.11,3.29,3.48,3.67,3.87,4.08
Braun, Ryan,460075,MIL,158,LF,35,R,0,0.54,0.84,1.1,1.35,1.57,1.79,1.99,2.19,2.38,2.57,2.76,2.94,3.13,3.3,3.48,3.67,3.85,4.04
Bregman, Alex,608324,HOU,117,3B,24,R,0,0.54,0.83,1.09,1.33,1.56,1.77,1.97,2.17,2.36,2.54,2.72,2.9,3.08,3.25,3.43,3.6,3.78,3.96
Briceno, Jose,593993,LAA,108,C,26,R,0,0.56,0.87,1.15,1.41,1.65,1.87,2.09,2.29,2.49,2.68,2.87,3.06,3.25,3.43,3.62,3.8,3.99,4.18
Brinson, Lewis,621446,MIA,146,CF,24,R,0,0.55,0.85,1.1,1.34,1.56,1.76,1.96,2.15,2.33,2.51,2.68,2.86,3.03,3.19,3.36,3.53,3.69,3.86
Bruce, Jay,457803,NYM,121,RF,31,L,0,0.55,0.85,1.12,1.37,1.6,1.83,2.04,2.24,2.44,2.64,2.83,3.02,3.21,3.4,3.6,3.79,4,4.2
Bryant, Kris,592178,CHC,112,3B,26,R,0,0.56,0.86,1.13,1.37,1.6,1.81,2.02,2.21,2.4,2.59,2.77,2.95,3.13,3.3,3.48,3.65,3.83,4.01
Butera, Drew,460077,COL,115,C,35,R,0,0.56,0.88,1.16,1.42,1.67,1.9,2.12,2.34,2.55,2.75,2.96,3.16,3.36,3.55,3.75,3.95,4.15,4.37
Cabrera, Asdrubal,452678,PHI,143,2B,33,R,0,0.55,0.87,1.15,1.41,1.65,1.87,2.08,2.29,2.49,2.69,2.88,3.07,3.26,3.44,3.63,3.82,4.01,4.21
Cabrera, Asdrubal,452678,PHI,143,2B,33,L,0,0.54,0.85,1.13,1.39,1.63,1.85,2.06,2.27,2.47,2.66,2.85,3.04,3.23,3.42,3.61,3.8,4,4.2
Cabrera, Melky,466320,CLE,114,RF,34,L,0,0.52,0.81,1.08,1.33,1.56,1.78,1.99,2.19,2.38,2.58,2.76,2.95,3.14,3.32,3.51,3.7,3.89,4.09
Cain, Lorenzo,456715,MIL,158,CF,32,R,0,0.55,0.85,1.1,1.34,1.56,1.77,1.96,2.15,2.33,2.51,2.69,2.86,3.03,3.2,3.37,3.53,3.7,3.88
Calhoun, Kole,594777,LAA,108,RF,31,L,0,0.52,0.8,1.07,1.32,1.55,1.78,1.99,2.19,2.38,2.58,2.77,2.96,3.14,3.33,3.51,3.7,3.89,4.08
Calhoun, Willie,641432,TEX,140,LF,24,L,0,0.55,0.86,1.14,1.39,1.63,1.85,2.07,2.27,2.47,2.66,2.86,3.05,3.23,3.42,3.6,3.78,3.97,4.16
Camargo, Johan,622666,ATL,144,3B,25,L,0,0.54,0.84,1.11,1.35,1.58,1.8,2.01,2.21,2.4,2.59,2.78,2.97,3.15,3.34,3.53,3.72,3.94,4.18
Camargo, Johan,622666,ATL,144,3B,25,R,0,0.53,0.83,1.1,1.35,1.59,1.81,2.02,2.22,2.42,2.61,2.8,2.99,3.17,3.36,3.54,3.73,3.93,4.16
Candelario, Jeimer,600869,DET,116,3B,25,L,0,0.53,0.83,1.1,1.35,1.58,1.8,2.01,2.21,2.4,2.59,2.78,2.97,3.15,3.33,3.51,3.69,3.87,4.07
Candelario, Jeimer,600869,DET,116,3B,25,R,0,0.55,0.86,1.13,1.39,1.62,1.84,2.05,2.25,2.45,2.63,2.82,3,3.19,3.37,3.54,3.72,3.9,4.09
Canha, Mark,592192,OAK,133,CF,29,R,0,0.54,0.84,1.11,1.35,1.58,1.8,2,2.2,2.39,2.58,2.76,2.95,3.13,3.3,3.48,3.66,3.84,4.02
Cano, Robinson,429664,SEA,136,2B,36,L,0,0.53,0.83,1.11,1.36,1.6,1.83,2.04,2.25,2.46,2.66,2.86,3.05,3.25,3.44,3.63,3.83,4.03,4.23
Caratini, Victor,605170,CHC,112,C,25,L,0,0.51,0.82,1.09,1.34,1.58,1.8,2.01,2.22,2.42,2.61,2.8,2.99,3.18,3.37,3.56,3.75,3.95,4.16
Carpenter, Matt,572761,STL,138,3B,33,L,0,0.54,0.85,1.11,1.36,1.59,1.81,2.02,2.22,2.41,2.61,2.79,2.98,3.16,3.35,3.53,3.71,3.89,4.08
Castellanos, Nicholas,592206,DET,116,RF,26,R,0,0.55,0.85,1.12,1.36,1.59,1.81,2.01,2.21,2.4,2.58,2.76,2.94,3.12,3.29,3.47,3.64,3.82,3.99
Castillo, Welington,456078,CWS,145,C,31,R,0,0.54,0.87,1.15,1.42,1.67,1.9,2.13,2.35,2.56,2.77,2.98,3.18,3.39,3.59,3.8,4.01,4.22,4.44
Castro, Starlin,516770,MIA,146,2B,28,R,0,0.54,0.84,1.1,1.35,1.57,1.79,1.99,2.18,2.37,2.56,2.74,2.92,3.1,3.27,3.45,3.62,3.8,3.99
Cave, Jake,595909,MIN,142,CF,26,L,0,0.53,0.81,1.07,1.31,1.54,1.75,1.96,2.15,2.34,2.53,2.71,2.9,3.08,3.26,3.43,3.61,3.79,3.97
Cervelli, Francisco,465041,PIT,134,C,32,R,0,0.55,0.87,1.14,1.4,1.63,1.85,2.06,2.27,2.47,2.66,2.85,3.04,3.23,3.42,3.6,3.79,3.97,4.16
Chapman, Matt,656305,OAK,133,3B,25,R,0,0.54,0.83,1.09,1.33,1.56,1.77,1.97,2.16,2.35,2.53,2.71,2.89,3.06,3.24,3.41,3.58,3.75,3.93
Chirinos, Robinson,455139,TEX,140,C,34,R,0,0.54,0.85,1.13,1.39,1.63,1.85,2.07,2.28,2.48,2.68,2.87,3.07,3.26,3.45,3.64,3.83,4.03,4.24
Choi, Ji-Man,596847,TB,139,DH,27,L,0,0.56,0.87,1.14,1.4,1.63,1.86,2.07,2.27,2.47,2.66,2.85,3.04,3.23,3.41,3.6,3.79,3.99,4.19
Choo, Shin-Soo,425783,TEX,140,DH,36,L,0,0.53,0.83,1.1,1.35,1.58,1.8,2.01,2.21,2.4,2.59,2.78,2.97,3.15,3.34,3.52,3.7,3.9,4.11
Conforto, Michael,624424,NYM,121,LF,25,L,0,0.54,0.84,1.1,1.34,1.56,1.77,1.98,2.17,2.36,2.54,2.72,2.9,3.08,3.25,3.43,3.6,3.78,3.97
Contreras, Willson,575929,CHC,112,C,26,R,0,0.54,0.83,1.09,1.34,1.56,1.77,1.98,2.17,2.36,2.55,2.73,2.91,3.09,3.27,3.45,3.63,3.81,4
Cordero, Franchy,614173,SD,135,LF,24,L,0,0.53,0.81,1.07,1.3,1.51,1.72,1.91,2.1,2.28,2.45,2.63,2.8,2.97,3.13,3.3,3.46,3.63,3.82
Correa, Carlos,621043,HOU,117,SS,24,R,0,0.54,0.83,1.09,1.34,1.56,1.78,1.98,2.18,2.36,2.55,2.73,2.91,3.09,3.26,3.44,3.61,3.79,3.98
Cozart, Zack,446359,LAA,108,3B,33,R,0,0.53,0.83,1.1,1.34,1.57,1.79,2,2.2,2.39,2.58,2.77,2.96,3.14,3.33,3.51,3.69,3.88,4.08
Crawford, Brandon,543063,SF,137,SS,31,L,0,0.55,0.85,1.12,1.36,1.6,1.81,2.02,2.23,2.42,2.62,2.81,3,3.18,3.37,3.56,3.74,3.95,4.16
Cron, C.J.,543068,TB,139,DH,28,R,0,0.56,0.88,1.16,1.41,1.65,1.88,2.09,2.29,2.49,2.69,2.88,3.07,3.26,3.44,3.63,3.81,4,4.2
Cruz, Nelson,443558,SEA,136,DH,38,R,0,0.54,0.86,1.14,1.4,1.64,1.87,2.08,2.29,2.5,2.69,2.89,3.08,3.27,3.46,3.66,3.85,4.05,4.26
Cuevas, Noel,571595,COL,115,RF,27,R,0,0.54,0.85,1.11,1.36,1.58,1.8,2,2.19,2.38,2.56,2.74,2.91,3.09,3.26,3.43,3.6,3.77,3.94
Culberson, Charlie,518586,ATL,144,LF,29,R,0,0.54,0.83,1.09,1.33,1.55,1.77,1.97,2.16,2.35,2.53,2.72,2.89,3.07,3.24,3.42,3.59,3.76,3.94
Cuthbert, Cheslor,596144,KC,118,3B,26,R,0,0.54,0.84,1.11,1.35,1.58,1.81,2.02,2.22,2.41,2.61,2.79,2.98,3.17,3.35,3.53,3.71,3.89,4.08
Dahl, David,621311,COL,115,LF,24,L,0,0.52,0.8,1.05,1.28,1.5,1.7,1.9,2.08,2.27,2.44,2.62,2.79,2.96,3.13,3.3,3.47,3.65,3.83
Davidson, Matt,571602,CWS,145,DH,27,R,0,0.54,0.84,1.12,1.37,1.61,1.83,2.05,2.25,2.46,2.66,2.85,3.05,3.24,3.43,3.62,3.81,4.01,4.22
Davis, Chris,448801,BAL,110,1B,32,L,0,0.54,0.85,1.13,1.39,1.63,1.85,2.07,2.28,2.48,2.68,2.87,3.07,3.26,3.45,3.64,3.82,4.02,4.21
Davis, J.D.,605204,HOU,117,3B,25,R,0,0.55,0.85,1.12,1.37,1.61,1.83,2.04,2.24,2.44,2.63,2.82,3.01,3.19,3.38,3.56,3.74,3.93,4.13
Davis, Khris,501981,OAK,133,DH,31,R,0,0.53,0.84,1.11,1.36,1.59,1.81,2.02,2.23,2.42,2.62,2.81,3,3.18,3.37,3.55,3.74,3.93,4.13
Davis, Rajai,434658,CLE,114,CF,38,R,0,0.53,0.81,1.06,1.3,1.52,1.72,1.92,2.1,2.29,2.46,2.63,2.81,2.97,3.14,3.31,3.47,3.64,3.81
DeJong, Paul,657557,STL,138,SS,25,R,0,0.55,0.85,1.11,1.34,1.57,1.78,1.98,2.17,2.36,2.54,2.72,2.9,3.07,3.25,3.42,3.59,3.77,3.94
DeShields, Delino,592261,TEX,140,CF,26,R,0,0.53,0.8,1.05,1.28,1.49,1.69,1.88,2.07,2.24,2.41,2.58,2.75,2.91,3.07,3.23,3.39,3.56,3.73
Delmonico, Nicky,547170,CWS,145,LF,26,L,0,0.53,0.82,1.09,1.33,1.56,1.78,1.99,2.19,2.38,2.57,2.75,2.94,3.12,3.3,3.48,3.66,3.85,4.04
Descalso, Daniel,518614,ARI,109,2B,32,L,0,0.53,0.82,1.09,1.33,1.56,1.78,1.99,2.18,2.38,2.57,2.75,2.94,3.12,3.3,3.48,3.66,3.86,4.05
Desmond, Ian,435622,COL,115,1B,33,R,0,0.54,0.84,1.1,1.34,1.57,1.78,1.98,2.18,2.36,2.55,2.73,2.91,3.08,3.26,3.43,3.61,3.78,3.97
